source_addresses,recipient_address,amount_phmn,note
juno1r5h46t8crr7ur99tg9x483n3t8es5gwpzl2g5j,cosmos1r5h46t8crr7ur99tg9x483n3t8es5gwp5dfnnw,123.123814,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1yfu94lvqweyxxdwp42lnz9esxju4edl4q57zy3,cosmos1yfu94lvqweyxxdwp42lnz9esxju4edl4kxaerd,122.982440,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1ndx3zhn04535dsj3fc2x9fm0fjn0etnyxyr4mz,cosmos1ndx3zhn04535dsj3fc2x9fm0fjn0etnyskqwu7,121.778093,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1r0ghv5k4g0xcved3v3f7u8fug5l77rk5daxr7k,cosmos1r0ghv5k4g0xcved3v3f7u8fug5l77rk5m09ce2,121.261617,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1m3d9zmhpu5unxkpggy94vt049fvauayl5h3ds2,cosmos1m3d9zmhpu5unxkpggy94vt049fvauaylz9jkhk,121.036922,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno12dy2cwv5m85ml0vzck2gp2d5x8cxflk78r4lw9,cosmos12dy2cwv5m85ml0vzck2gp2d5x8cxflk733kyfe,120.297705,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1r3sglnjc34q2l0nf2rl2dh6slum564mm3vc7c2,cosmos1r3sglnjc34q2l0nf2rl2dh6slum564mm87m9lk,120.007518,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1ha37mcle6p2sp75ml47e7y73tdsuftrax3w088,cosmos1ha37mcle6p2sp75ml47e7y73tdsuftrasrd5qm,119.374703,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1mksc5x458dqknzu39s9g82u55w0t6944rwhuwu,cosmos1mksc5x458dqknzu39s9g82u55w0t69444u58fq,118.428753,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1yuv8ewefwta932auuu7xrnp7yqyjfhumkv8ht9; juno1yuv8ewefwta932auuu7xrnp7yqyjfhumg9hu6t,cosmos1yuv8ewefwta932auuu7xrnp7yqyjfhum7h58ah,113.742436,Multiple source addresses normalize to the same Cosmos account bytes; their balances are combined into one recipient allocation. Snapshot allocation exceeds 100 PHMN.
juno1mj4c3whfpphcsw0m2vu6g9r0d6pgv8cfspnjrz,cosmos1mj4c3whfpphcsw0m2vu6g9r0d6pgv8cfxnsfy7,113.175222,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
