chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,distribution_note
osmosis,current,osmo1hgf9x48wywk6jf7zrq4n7fsyj6nkhqnpphl9p5,cosmos1hgf9x48wywk6jf7zrq4n7fsyj6nkhqnpfvv4hx,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,6538,0.006538,,,
osmosis,current,osmo14px5p7lrtwmqymtkn0kzd5ypcel4pynx8g43jy,cosmos14px5p7lrtwmqymtkn0kzd5ypcel4pynx0nxpyk,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,5995,0.005995,,,
osmosis,current,osmo1an93jqh8uayn590lyl6wzjs9qn7up0lw2vnz3g,cosmos1an93jqh8uayn590lyl6wzjs9qn7up0lwzhqj86,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,5446,0.005446,,,
osmosis,current,osmo1tyeg3r6m3fm34q9pytx6qecd2eua0nhee4gyh8,cosmos1tyeg3r6m3fm34q9pytx6qecd2eua0nhe3wm5p4,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,5329,0.005329,,,
osmosis,current,osmo1qfen22dta3qmlvusq2jkryyhkffap7tkcd2ukx,cosmos1qfen22dta3qmlvusq2jkryyhkffap7tkskevq5,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,5189,0.005189,,,
osmosis,current,osmo13wpfmuj08aqer8rqu5dyakxhyl8d8ky2y096jg,cosmos13wpfmuj08aqer8rqu5dyakxhyl8d8ky2v5k2y6,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,4831,0.004831,,,
osmosis,current,osmo1423lrkcyufus67w7j79hyjfjr0hd35kxqrdatp,cosmos1423lrkcyufus67w7j79hyjfjr0hd35kxgc7dan,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,4222,0.004222,,,
osmosis,current,osmo1ceaqazt45l0wrdsuq3vlxuwkmqlar7vtgqdplkpwtmr6rzrk9rwsltpwys,cosmos1ceaqazt45l0wrdsuq3vlxuwkmqlar7vtgqdplkpwtmr6rzrk9rws2keknk,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,3735,0.003735,,,
osmosis,current,osmo1znjnvmhw7arp60p6vfggae40xhuu0a4lp8pdl5,cosmos1znjnvmhw7arp60p6vfggae40xhuu0a4lfujafx,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,3641,0.003641,,,
osmosis,current,osmo1gz3za2gwfk8dxtej4suf2yhza6e3km52kj3l3nrynulekg5emzqs6qry4m,cosmos1gz3za2gwfk8dxtej4suf2yhza6e3km52kj3l3nrynulekg5emzqs0amuza,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,2647,0.002647,,,
osmosis,current,osmo1gjx46yqqwkvwh3rc8gv3j80hg496ejs9werz8v,cosmos1gjx46yqqwkvwh3rc8gv3j80hg496ejs9xzsj37,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,2493,0.002493,,,
osmosis,current,osmo1x6q35vzs4t2tqj5rre5d5teu6hl3cdqens7x0s,cosmos1x6q35vzs4t2tqj5rre5d5teu6hl3cdqemtdkez,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,2147,0.002147,,,
osmosis,current,osmo16en9ateq5565c4n26ed0wykmnqhd0thpcvcn4t,cosmos16en9ateq5565c4n26ed0wykmnqhd0thpshtrre,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,1864,0.001864,,,
osmosis,current,osmo1g4cwx66q9su8rq9e7lntj7ny8y3764c8e759es,cosmos1g4cwx66q9su8rq9e7lntj7ny8y3764c839840z,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,1155,0.001155,,,
osmosis,current,osmo1w347x0f95ecpm4mtutknaxx7k83z8mayc2rfyc,cosmos1w347x0f95ecpm4mtutknaxx7k83z8mays3sej2,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,631,0.000631,,,
osmosis,current,osmo1ws268687q2xhu4gqwgwqhnwpthyt4td9rpurm4,cosmos1ws268687q2xhu4gqwgwqhnwpthyt4td9t60nd8,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,506,0.000506,,,
osmosis,current,osmo1nr6m3gx4v9a0dj2vj7ff7xcgusar66cyx3frce,cosmos1nr6m3gx4v9a0dj2vj7ff7xcgusar66cyw26nwt,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,357,0.000357,,,
osmosis,current,osmo1nkasa5t0yl77qrgdhah7jxf9tl84870l63xuvk,cosmos1nkasa5t0yl77qrgdhah7jxf9tl84870lj24v6y,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,301,0.000301,,,
osmosis,current,osmo1ag5hk7tkw6kh6nnwglgeyrmd0aaeakz0tpnkhl,cosmos1ag5hk7tkw6kh6nnwglgeyrmd0aaeakz0r6qxpd,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,276,0.000276,,,
osmosis,current,osmo16w6a4cex0jf8cx7fp37tlxg9x92jendk0336y8,cosmos16w6a4cex0jf8cx7fp37tlxg9x92jendk82z2j4,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,185,0.000185,,,
osmosis,current,osmo1zvd87wavklzxpp4r78rnqndzw08wffgrt489q5,cosmos1zvd87wavklzxpp4r78rnqndzw08wffgrrw54kx,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,183,0.000183,,,
osmosis,current,osmo1vsmxamj76twdcz054d3fe027pw8cn2f5jvggcc,cosmos1vsmxamj76twdcz054d3fe027pw8cn2f56hmcw2,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,124,0.000124,,,
osmosis,current,osmo14uv3wltqgz0puwknzaxvugq2nxkrfrj6hw6842j9nfnh5k8tu9nsr7xsxk,cosmos14uv3wltqgz0puwknzaxvugq2nxkrfrj6hw6842j9nfnh5k8tu9nskr7g3s,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,83,0.000083,,,
osmosis,current,osmo12p60pq37ddu5nj3tmqa97hlrsr0k2lvnch2a0q32p0hfuwtqhdas0chx2w,cosmos12p60pq37ddu5nj3tmqa97hlrsr0k2lvnch2a0q32p0hfuwtqhdas6907ag,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,61,0.000061,,,
osmosis,current,osmo1updap2mqkfepyxvhxccsu7s288xmk4yylgms6x3dhqk5gwn4y65sppda5m,cosmos1updap2mqkfepyxvhxccsu7s288xmk4yylgms6x3dhqk5gwn4y65s5u49ra,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,25,0.000025,,,
osmosis,current,osmo1cwhcqp38tdhx8c2ywltrsyhed9kp4t0wht5ape,cosmos1cwhcqp38tdhx8c2ywltrsyhed9kp4t0wls8dht,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,23,0.000023,,,
osmosis,current,osmo1f8u7zlep2ksr5hz5u3tg44x5fzacdqdmljz673,cosmos1f8u7zlep2ksr5hz5u3tg44x5fzacdqdmhf32gr,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,23,0.000023,,,
